Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
ABL1	2	2	0	0	0.0	0.0014	0.2179	0
AMER1	21	12	9	0	0.4898	0.0313	0.2803	0
ARID1B	4	3	1	0	0.375	0.0065	0.2149	0
AGO2	14	5	9	0	0.4592	0.0433	0.2844	0
FLT3	7	5	2	0	0.4082	0.0428	0.2508	0
KDM5C	23	12	11	0	0.4991	0.0252	0.2801	0
KLF4	2	1	1	0	0.5	0.0	0.2197	0
MYC	11	2	9	0	0.2975	0.0184	0.2564	0
NBN	8	4	4	0	0.5	0.0075	0.2497	0
PHOX2B	8	6	2	0	0.375	0.0213	0.2564	0
PIK3C2G	8	8	0	0	0.0	0.0591	0.3029	0
RECQL4	15	7	8	0	0.4978	0.034	0.286	0
TP63	19	5	14	0	0.3878	0.0333	0.2871	0
YES1	7	4	3	0	0.4898	0.0117	0.2607	0
AKT1	4	1	3	0	0.375	0.0013	0.2168	0
BTK	5	2	3	0	0.48	0.0014	0.2231	0
PAK7	6	3	3	0	0.5	0.0048	0.2399	0
RAD21	8	2	6	0	0.375	0.0099	0.2479	0
AKT2	10	2	8	0	0.32	0.0118	0.2584	0
ARAF	29	13	16	0	0.4946	0.0334	0.2817	0
CCNE1	7	1	6	0	0.2449	0.0099	0.2477	0
CEBPA	12	3	9	0	0.375	0.0112	0.2495	0
KMT2B	14	8	6	0	0.4898	0.0158	0.2637	0
MAP3K13	15	3	11	1	0.4178	0.0049	0.2724	0
MLL4	1	0	1	0	0.0	0.0	0.2039	0
WHSC1L1	10	5	5	0	0.5	0.0079	0.2642	0
AKT3	2	2	0	0	0.0	0.0	0.2155	0
CD79A	10	8	2	0	0.32	0.0276	0.2642	0
PGR	8	8	0	0	0.0	0.0227	0.2399	0
ALB	2	2	0	0	0.0	0.0026	0.2436	0
MGA	18	13	5	0	0.4012	0.042	0.2711	0
PIK3CG	10	10	0	0	0.0	0.0571	0.2852	0
ALK	4	2	1	1	0.625	0.0068	0.2087	0
DNMT3A	10	7	3	0	0.42	0.0205	0.2573	0
EML4	1	0	0	1	0.0	0.0	0.1716	0
MYOD1	3	3	0	0	0.0	0.0031	0.2184	0
ALOX12B	1	1	0	0	0.0	0.0	0.2117	0
AR	10	3	7	0	0.42	0.0091	0.2611	0
EIF1AX	11	5	6	0	0.4959	0.001	0.2521	0
ESR1	6	5	1	0	0.2778	0.0199	0.2754	0
HGF	14	9	5	0	0.4592	0.0409	0.2822	0
INPPL1	7	5	2	0	0.4082	0.0156	0.2661	0
KDM6A	17	7	10	0	0.4844	0.0217	0.2709	0
KMT2A	8	8	0	0	0.0	0.0231	0.2658	0
MED12	12	7	5	0	0.4861	0.0127	0.2414	0
RUNX1	3	2	1	0	0.4444	0.0022	0.2297	0
WHSC1	11	4	7	0	0.4628	0.0162	0.2665	0
ZRSR2	14	3	11	0	0.3367	0.0075	0.2689	0
ANKRD11	2	2	0	0	0.0	0.0106	0.2512	0
PTPRD	22	20	2	0	0.1653	0.1502	0.3312	0
SOX9	3	3	0	0	0.0	0.0184	0.2216	0
APC	3	3	0	0	0.0	0.0022	0.2479	0
AXIN2	5	5	0	0	0.0	0.0093	0.2593	0
DNMT1	2	2	0	0	0.0	0.0	0.2046	0
DUSP4	11	4	7	0	0.4628	0.0184	0.277	0
WWTR1	12	0	12	0	0.0	0.0106	0.2525	0
BCOR	17	10	7	0	0.4844	0.0542	0.2916	0
E2F3	2	1	1	0	0.5	0.0	0.2181	0
FGFR4	17	9	8	0	0.4983	0.0327	0.2866	0
GATA1	11	4	7	0	0.4628	0.0028	0.2542	0
RBM10	13	7	6	0	0.497	0.016	0.2584	0
ARID1A	2	2	0	0	0.0	0.0008	0.1845	0
HIST1H3D	2	2	0	0	0.0	0.0046	0.2138	0
SMAD2	2	2	0	0	0.0	0.0022	0.1949	0
MRE11A	1	1	0	0	0.0	0.0	0.1758	0
ARID2	2	2	0	0	0.0	0.001	0.1986	0
CDH1	3	3	0	0	0.0	0.0053	0.2181	0
FAM46C	5	4	1	0	0.32	0.0122	0.2342	0
ARID5B	1	1	0	0	0.0	0.0	0.2165	0
AXL	10	8	2	0	0.32	0.03	0.279	0
ASXL1	12	7	5	0	0.4861	0.0334	0.2338	0
BCL2L1	3	0	3	0	0.0	0.0052	0.1929	0
CCND3	3	2	1	0	0.4444	0.0031	0.2082	0
DNMT3B	11	5	6	0	0.4959	0.0086	0.2006	0
FANCA	4	4	0	0	0.0	0.0085	0.2364	0
NSD1	6	2	4	0	0.4444	0.0146	0.2542	0
TET2	7	7	0	0	0.0	0.027	0.2635	0
TOP1	5	2	3	0	0.48	0.0021	0.1915	0
TRAF2	1	1	0	0	0.0	0.0	0.1883	0
ASXL2	4	3	1	0	0.375	0.0011	0.2286	0
EPHA7	8	6	2	0	0.375	0.0087	0.2446	0
ERCC3	3	3	0	0	0.0	0.0029	0.2428	0
ATM	5	5	0	0	0.0	0.0096	0.2646	0
CSF1R	4	4	0	0	0.0	0.0034	0.2418	0
DDR2	11	9	2	0	0.2975	0.0317	0.2817	0
MLL2	2	2	0	0	0.0	0.0012	0.2202	0
ATR	3	1	2	0	0.4444	0.0	0.2192	0
PRKCI	19	8	11	0	0.4875	0.0231	0.2785	0
ATRX	17	12	5	0	0.4152	0.0362	0.2888	0
ERBB4	8	8	0	0	0.0	0.0249	0.2607	0
NF1	10	10	0	0	0.0	0.0327	0.2855	0
NKX3-1	8	3	5	0	0.4688	0.0042	0.2468	0
NTRK3	8	8	0	0	0.0	0.0216	0.2902	0
PREX2	12	9	3	0	0.375	0.0268	0.2644	0
PTCH1	6	5	1	0	0.2778	0.0118	0.2575	0
SDHA	13	7	6	0	0.497	0.0213	0.2558	0
AURKA	2	1	1	0	0.5	0.0	0.0042	0
RTEL1	3	1	2	0	0.4444	0.0	0.0062	0
ERCC4	5	3	2	0	0.48	0.0024	0.2233	0
IRS1	8	7	1	0	0.2188	0.0132	0.2611	0
SPEN	7	4	3	0	0.4898	0.0194	0.2355	0
TSHR	12	10	2	0	0.2778	0.0275	0.2838	0
B2M	2	1	1	0	0.5	0.0	0.1689	0
FAT1	4	3	1	0	0.375	0.0075	0.2047	0
BAP1	2	1	1	0	0.5	0.0	0.2008	0
MST1R	8	5	3	0	0.4688	0.0178	0.2536	0
BARD1	2	2	0	0	0.0	0.0005	0.2083	0
IL10	3	3	0	0	0.0	0.0011	0.2096	0
NFKBIA	3	0	3	0	0.0	0.0028	0.1747	0
BCL6	12	2	9	1	0.4028	0.0064	0.2663	0
DCUN1D1	11	0	11	0	0.0	0.0041	0.25	0
EIF4A2	17	5	12	0	0.4152	0.0161	0.2704	0
FGF3	13	5	8	0	0.4734	0.0414	0.2521	0
PIK3CA	14	5	9	0	0.4592	0.0118	0.2692	0
SOX2	13	3	10	0	0.355	0.0048	0.2714	0
TP53	19	19	0	0	0.0	0.1241	0.3223	0
CD274	3	0	3	0	0.0	0.006	0.2329	0
EPHA5	5	5	0	0	0.0	0.0143	0.2558	0
NCOA3	4	3	1	0	0.375	0.0192	0.2397	0
NFE2L2	17	8	9	0	0.4983	0.0315	0.2866	0
PDGFRA	9	6	3	0	0.4444	0.0297	0.2757	0
ZFHX3	7	7	0	0	0.0	0.027	0.2749	0
BIRC3	4	2	2	0	0.5	0.012	0.2006	0
