Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
CDKN2B	9	0	9	0	0.0	0.0242	0.1001	0
BRCA1	2	2	0	0	0.0	0.0048	0.0667	0
IRS1	1	1	0	0	0.0	0.0	0.0587	0
RPTOR	2	2	0	0	0.0	0.0095	0.077	0
REL	1	1	0	0	0.0	0.0	0.005	0
TERT	7	3	4	0	0.4898	0.0003	0.0223	0
CARD11	3	2	1	0	0.4444	0.0002	0.0133	0
DNMT1	2	2	0	0	0.0	0.0002	0.0114	0
RAC1	3	1	2	0	0.4444	0.0002	0.0114	0
CBL	1	1	0	0	0.0	0.0	0.0836	0
PDGFRA	3	3	0	0	0.0	0.0308	0.1007	0
CCND1	4	1	3	0	0.375	0.0	0.015	0
FGF19	4	1	3	0	0.375	0.0	0.015	0
FGF3	4	1	3	0	0.375	0.0	0.015	0
FGF4	4	1	3	0	0.375	0.0	0.015	0
CDKN1B	11	1	10	0	0.1653	0.1244	0.1136	0
CCND2	8	2	6	0	0.375	0.0358	0.0962	0
AXIN2	4	3	1	0	0.375	0.032	0.0824	0
PTPRD	6	6	0	0	0.0	0.0431	0.0958	0
ATR	1	1	0	0	0.0	0.0	0.0801	0
MYC	6	0	6	0	0.0	0.0008	0.0357	0
NKX3-1	4	1	3	0	0.375	0.0005	0.0263	0
RAD21	6	1	5	0	0.2778	0.0001	0.0312	0
RECQL4	9	3	6	0	0.4444	0.0005	0.0333	0
ALK	1	1	0	0	0.0	0.0	0.0067	0
EP300	2	2	0	0	0.0	0.0001	0.01	0
AR	1	1	0	0	0.0	0.0	0.0709	0
EPHA3	4	4	0	0	0.0	0.0172	0.0828	0
ARAF	7	3	4	0	0.4898	0.0049	0.0739	0
BTK	1	1	0	0	0.0	0.0	0.0642	0
EIF1AX	8	3	5	0	0.4688	0.0275	0.086	0
GATA1	6	2	4	0	0.4444	0.0048	0.0737	0
KDM6A	4	2	2	0	0.5	0.0	0.0734	0
ZRSR2	3	0	3	0	0.0	0.0	0.0736	0
ARID1A	2	2	0	0	0.0	0.0004	0.0128	0
MALT1	2	2	0	0	0.0	0.0006	0.016	0
SOX17	1	1	0	0	0.0	0.0	0.01	0
ARID5B	1	1	0	0	0.0	0.0	0.0112	0
NTRK1	4	2	2	0	0.5	0.0003	0.0164	0
ASXL1	1	1	0	0	0.0	0.0	0.005	0
FOXO1	1	1	0	0	0.0	0.0	0.005	0
ETV6	7	0	7	0	0.0	0.0072	0.0995	0
H3F3C	4	0	4	0	0.0	0.0	0.0943	0
