Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
1	Reactome_Pathways_2024	Downstream Signaling of Activated FGFR4	2/27	4.889496527853119e-05	0.0003350210583899359	PIK3CA;KRAS
1	Reactome_Pathways_2024	FLT3 Signaling in Disease	2/28	5.264561729676873e-05	0.0003541614254509896	PIK3CA;KRAS
1	Reactome_Pathways_2024	DAP12 Signaling	2/29	5.653401620655799e-05	0.0003735283213647581	PIK3CA;KRAS
1	GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	4/621	5.833071858808501e-05	0.006436849216416	CDKN1B;PIK3CA;STAT3;MYD88
1	Reactome_Pathways_2024	Signaling by ALK	2/30	6.056007889723947e-05	0.000379783545626756	PIK3CA;STAT3
1	Reactome_Pathways_2024	Signaling by CSF3 (G-CSF)	2/30	6.056007889723947e-05	0.000379783545626756	STAT3;KRAS
1	Reactome_Pathways_2024	Downstream Signaling of Activated FGFR2	2/30	6.056007889723947e-05	0.000379783545626756	PIK3CA;KRAS
1	KEGG_2021_Human	Rap1 signaling pathway	3/210	6.147015857232768e-05	0.00024061176355453972	PIK3CA;CTNNB1;KRAS
1	KEGG_2021_Human	Human immunodeficiency virus 1 infection	3/212	6.322798027198637e-05	0.0002406175915906148	PIK3CA;KRAS;MYD88
1	Reactome_Pathways_2024	FGFR1 Mutant Receptor Activation	2/31	6.472372230222047e-05	0.0003862544718035738	PIK3CA;STAT3
1	Reactome_Pathways_2024	Disassembly of the Destruction Complex and Recruitment of AXIN to the Membrane	2/31	6.472372230222047e-05	0.0003862544718035738	AMER1;CTNNB1
1	Reactome_Pathways_2024	Downstream Signaling of Activated FGFR1	2/31	6.472372230222047e-05	0.0003862544718035738	PIK3CA;KRAS
1	Reactome_Pathways_2024	Signaling by WNT in Cancer	2/34	7.803930652018581e-05	0.0004583260859122023	AMER1;CTNNB1
1	KEGG_2021_Human	Coronavirus disease	3/232	8.265359314973177e-05	0.0003060416827436014	PIK3CA;STAT3;MYD88
