Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	55	133	1	0.09	4.84	0.166	0.263	6	3.71
1	42	122	1	0.142	5.81	0.144	0.52	6	4.04
2	41	108	1	0.132	5.27	0.056	0.36	5	7.67
3	36	62	1	0.098	3.44	0.172	0.392	6	3.81
4	34	67	1	0.119	3.94	0.156	0.343	6	4.18
5	22	40	1	0.173	3.64	0.126	0.489	5	4.67
6	17	23	1	0.169	2.71	0.084	0.295	5	4.43
7	13	30	1	0.385	4.62	0.182	0.592	3	7.1
8	13	54	1	0.692	8.31	0.293	0.83	3	12.57
9	12	31	1	0.47	5.17	0.132	0.708	3	19.87
10	11	20	1	0.364	3.64	0.137	0.557	4	10.7
11	10	16	1	0.356	3.2	0.177	0.635	4	7.12
12	4	4	1	0.667	2.0	0.481	0.6	2	7.25
13	3	2	1	0.667	1.33	0.0	0.0	2	3.0
14	3	2	1	0.667	1.33	0.0	0.0	2	4.0
15	2	1	1	1.0	1.0	0.0	0.0	1	3.0
16	2	1	1	1.0	1.0	0.0	0.0	1	3.0
17	2	1	1	1.0	1.0	0.0	0.0	1	4.0
