Metodo	K	Modularity	Silhouette	NMI vs Louvain	Tempo (s)
Louvain	9	0.4253	0.0461	1.0	0.02
Leiden	9	0.4315	0.0511	0.4746	0.01
Girvan-Newman	12	0.1241	0.041	0.2517	9.01
Infomap	16	0.422	0.0744	0.5539	0.01
