Cluster_ID	N_Nodes	N_Edges	Density	Avg_Degree	Avg_Clustering
0	17	23	0.169	2.71	0.149
1	50	75	0.061	3.0	0.048
2	13	21	0.269	3.23	0.133
3	35	67	0.113	3.83	0.103
4	51	83	0.065	3.25	0.039
5	15	17	0.162	2.27	0.074
6	18	21	0.137	2.33	0.065
7	23	29	0.115	2.52	0.023
8	26	40	0.123	3.08	0.097
