Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	137	1734	1	0.186	25.31	0.027	0.415	4	7.72
1	79	399	1	0.13	10.1	0.016	0.334	4	8.07
2	64	267	1	0.132	8.34	0.061	0.349	4	5.89
3	51	176	1	0.138	6.9	0.034	0.389	5	10.6
4	34	133	1	0.237	7.82	0.094	0.629	5	7.29
5	26	59	1	0.182	4.54	0.072	0.462	4	6.07
6	21	77	1	0.367	7.33	0.214	0.604	3	6.79
7	18	84	1	0.549	9.33	0.048	0.723	3	32.96
8	16	40	1	0.333	5.0	0.132	0.545	4	20.6
9	15	40	1	0.381	5.33	0.136	0.622	3	9.8
10	6	15	1	1.0	5.0	0.64	1.0	1	5.2
11	5	4	1	0.4	1.6	0.0	0.0	2	8.0
12	4	3	1	0.5	1.5	0.0	0.0	2	9.0
13	2	1	1	1.0	1.0	0.0	0.0	1	71.0
