Source	Term_Name	P_Value	Term_ID	Intersection_Size
GO:BP	DNA-templated transcription	0.03293119773963031	GO:0006351	10
GO:BP	endoderm development	0.033702767071789486	GO:0007492	3
GO:BP	positive regulation of nucleobase-containing compound metabolic process	0.035519940890782246	GO:0045935	8
KEGG	Longevity regulating pathway	0.03770755958617728	KEGG:04211	2
GO:BP	regulation of protein catabolic process	0.03775273932763342	GO:0042176	4
KEGG	Chemical carcinogenesis - reactive oxygen species	0.03955277523258893	KEGG:05208	2
GO:BP	replicative senescence	0.040189638965975605	GO:0090399	2
GO:BP	negative regulation of TORC1 signaling	0.04125704910941218	GO:1904262	2
GO:BP	macromolecule catabolic process	0.04309704837994921	GO:0009057	6
GO:BP	reproductive process	0.043333111694648964	GO:0022414	7
KEGG	Apoptosis	0.0436875843200432	KEGG:04210	2
GO:BP	system development	0.04410897543382186	GO:0048731	10
GO:BP	regulation of RNA metabolic process	0.046584389228904115	GO:0051252	10
GO:BP	response to radiation	0.04745703961728227	GO:0009314	3
REAC	Regulation of TP53 Activity through Methylation	0.04997455419877857	REAC:R-HSA-6804760	2
